round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
100,0.406419906437397,0.8551999926567078,0.5359380841255188,0.23230114434162777,0.90826666,0.75061715,relu,sigmoid,55,0.2375,100,normal,60,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.4070535910129547,0.8592000007629395,0.5632811188697815,0.22373859512805938,0.9109333,0.76115507,relu,sigmoid,60,0.2375,130,normal,60,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.4163436704874039,0.8519999980926514,0.5004270076751709,0.23385782192150753,0.9045333,0.74219394,relu,sigmoid,50,0.275,100,normal,65,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.4465120234489441,0.8392000198364258,0.4758944809436798,0.22493395431836447,0.9048,0.7204963,relu,sigmoid,40,0.3125,120,normal,80,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4027871286869049,0.8447999954223633,0.4969850778579712,0.2466843545039495,0.89813334,0.71190685,relu,sigmoid,40,0.35,100,normal,60,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.4114044195413589,0.843999981880188,0.4983713626861572,0.24395171801249185,0.8997333,0.71658516,relu,sigmoid,50,0.35,105,normal,75,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
120,0.45903770405054095,0.848800003528595,0.5255848169326782,0.19289675824344157,0.9213333,0.7842078,relu,sigmoid,45,0.275,120,normal,70,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.3986230849027634,0.8503999710083008,0.5159859657287598,0.24154595464468,0.9058667,0.74712604,relu,sigmoid,45,0.2,100,normal,65,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.3838737609386444,0.848800003528595,0.5561994910240173,0.2667611742019653,0.8954667,0.6810656,relu,sigmoid,60,0.275,105,normal,80,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.4697872710227966,0.8528000116348267,0.5172728896141052,0.19162314434846242,0.92053336,0.78140646,relu,sigmoid,50,0.3125,130,normal,75,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
